sender,evaluator,uplift,delta
gemini-3.1-pro,gemini-3.1-pro,0.31222222222222223,0.0
gemini-3.1-pro,gemini-3-flash,0.5244444444444445,-0.21222222222222226
gemini-3.1-pro,gemini-3.1-flash-lite,0.31666666666666665,-0.0044444444444444176
gemini-3.1-pro,opus-4.6,0.6722222222222222,-0.35999999999999993
gemini-3.1-pro,sonnet-4.6,0.5499999999999999,-0.2377777777777777
gemini-3.1-pro,haiku-4.5,0.5355555555555555,-0.22333333333333322
gemini-3.1-pro,gpt-5.4,0.5288888888888889,-0.21666666666666662
gemini-3.1-pro,gpt-5.4-mini,0.29777777777777775,0.014444444444444482
gemini-3.1-pro,gpt-5.4-nano,0.1322222222222222,0.18000000000000002
gemini-3-flash,gemini-3.1-pro,0.29,-0.11888888888888888
gemini-3-flash,gemini-3-flash,0.1711111111111111,0.0
gemini-3-flash,gemini-3.1-flash-lite,0.2233333333333333,-0.0522222222222222
gemini-3-flash,opus-4.6,0.17444444444444446,-0.003333333333333355
gemini-3-flash,sonnet-4.6,0.24555555555555555,-0.07444444444444445
gemini-3-flash,haiku-4.5,0.17777777777777778,-0.006666666666666682
gemini-3-flash,gpt-5.4,0.29555555555555557,-0.12444444444444447
gemini-3-flash,gpt-5.4-mini,0.10222222222222221,0.06888888888888889
gemini-3-flash,gpt-5.4-nano,0.0011111111111111113,0.16999999999999998
gemini-3.1-flash-lite,gemini-3.1-pro,0.021111111111111112,0.06222222222222222
gemini-3.1-flash-lite,gemini-3-flash,0.025555555555555554,0.057777777777777775
gemini-3.1-flash-lite,gemini-3.1-flash-lite,0.08333333333333333,0.0
gemini-3.1-flash-lite,opus-4.6,-0.020000000000000007,0.10333333333333333
gemini-3.1-flash-lite,sonnet-4.6,-0.02444444444444445,0.10777777777777778
gemini-3.1-flash-lite,haiku-4.5,-0.005555555555555553,0.08888888888888888
gemini-3.1-flash-lite,gpt-5.4,-0.0022222222222222227,0.08555555555555555
gemini-3.1-flash-lite,gpt-5.4-mini,0.016666666666666673,0.06666666666666665
gemini-3.1-flash-lite,gpt-5.4-nano,0.03777777777777778,0.04555555555555555
opus-4.6,gemini-3.1-pro,0.09333333333333332,-0.027777777777777776
opus-4.6,gemini-3-flash,0.10555555555555554,-0.039999999999999994
opus-4.6,gemini-3.1-flash-lite,0.021111111111111112,0.04444444444444444
opus-4.6,opus-4.6,0.06555555555555555,0.0
opus-4.6,sonnet-4.6,0.1322222222222222,-0.06666666666666667
opus-4.6,haiku-4.5,0.03888888888888889,0.026666666666666658
opus-4.6,gpt-5.4,0.03888888888888889,0.026666666666666658
opus-4.6,gpt-5.4-mini,0.01777777777777777,0.04777777777777778
opus-4.6,gpt-5.4-nano,0.0066666666666666645,0.05888888888888888
sonnet-4.6,gemini-3.1-pro,-0.00777777777777778,0.01888888888888889
sonnet-4.6,gemini-3-flash,-0.026666666666666665,0.03777777777777777
sonnet-4.6,gemini-3.1-flash-lite,-0.012222222222222221,0.02333333333333333
sonnet-4.6,opus-4.6,0.021111111111111112,-0.010000000000000002
sonnet-4.6,sonnet-4.6,0.01111111111111111,0.0
sonnet-4.6,haiku-4.5,-0.013333333333333334,0.024444444444444442
sonnet-4.6,gpt-5.4,-0.0022222222222222227,0.013333333333333332
sonnet-4.6,gpt-5.4-mini,-0.016666666666666656,0.027777777777777766
sonnet-4.6,gpt-5.4-nano,-0.01666666666666667,0.02777777777777778
haiku-4.5,gemini-3.1-pro,-0.010000000000000002,0.00555555555555556
haiku-4.5,gemini-3-flash,1.5419764230904951e-18,-0.004444444444444444
haiku-4.5,gemini-3.1-flash-lite,0.006666666666666659,-0.011111111111111101
haiku-4.5,opus-4.6,-0.02,0.015555555555555559
haiku-4.5,sonnet-4.6,-0.011111111111111108,0.006666666666666666
haiku-4.5,haiku-4.5,-0.004444444444444442,0.0
haiku-4.5,gpt-5.4,9.637352644315595e-19,-0.004444444444444443
haiku-4.5,gpt-5.4-mini,-0.020000000000000004,0.015555555555555562
haiku-4.5,gpt-5.4-nano,0.005555555555555556,-0.009999999999999998
gpt-5.4,gemini-3.1-pro,0.0011111111111111074,0.022222222222222223
gpt-5.4,gemini-3-flash,-0.02222222222222222,0.04555555555555555
gpt-5.4,gemini-3.1-flash-lite,-0.0011111111111111152,0.024444444444444446
gpt-5.4,opus-4.6,0.007777777777777778,0.015555555555555552
gpt-5.4,sonnet-4.6,0.0022222222222222244,0.02111111111111111
gpt-5.4,haiku-4.5,0.007777777777777777,0.015555555555555555
gpt-5.4,gpt-5.4,0.02333333333333333,0.0
gpt-5.4,gpt-5.4-mini,0.0044444444444444375,0.018888888888888893
gpt-5.4,gpt-5.4-nano,-0.007777777777777778,0.03111111111111111
gpt-5.4-mini,gemini-3.1-pro,-0.00555555555555556,0.006666666666666671
gpt-5.4-mini,gemini-3-flash,-0.008888888888888898,0.010000000000000009
gpt-5.4-mini,gemini-3.1-flash-lite,0.003333333333333329,-0.002222222222222218
gpt-5.4-mini,opus-4.6,0.010000000000000002,-0.00888888888888889
gpt-5.4-mini,sonnet-4.6,-0.006666666666666672,0.007777777777777784
gpt-5.4-mini,haiku-4.5,-0.012222222222222221,0.013333333333333332
gpt-5.4-mini,gpt-5.4,0.009999999999999998,-0.008888888888888887
gpt-5.4-mini,gpt-5.4-mini,0.0011111111111111113,0.0
gpt-5.4-mini,gpt-5.4-nano,-0.03777777777777778,0.03888888888888889
gpt-5.4-nano,gemini-3.1-pro,0.011111111111111108,-0.014444444444444442
gpt-5.4-nano,gemini-3-flash,0.012222222222222228,-0.015555555555555562
gpt-5.4-nano,gemini-3.1-flash-lite,-0.015555555555555557,0.012222222222222223
gpt-5.4-nano,opus-4.6,-0.034444444444444444,0.03111111111111111
gpt-5.4-nano,sonnet-4.6,-0.03888888888888889,0.035555555555555556
gpt-5.4-nano,haiku-4.5,-0.007777777777777777,0.004444444444444444
gpt-5.4-nano,gpt-5.4,-0.0033333333333333335,0.0
gpt-5.4-nano,gpt-5.4-mini,-0.045555555555555544,0.04222222222222221
gpt-5.4-nano,gpt-5.4-nano,-0.0033333333333333335,0.0
